id,name,alternateNames,type,skinColor,fleshColor,origin,description,flavorIntensity,butteriness,earthiness,sweetness,nuttiness,flavorCategory,textureWhenCooked,moistureLevel,starchContent,bestUses,fryingQuality,mashingQuality,roastingQuality,saladQuality,holdsShapeWhenCooked,cuisineAffinity,tuberShape,tuberSizeGrams_min,tuberSizeGrams_max,sizeCategory,eyeDepth,skinTexture,skinThickness,daysToMaturity_min,daysToMaturity_max,maturityCategory,yieldPotential,plantVigor,setCount,tuberSizeUniformity,hardinessZone_min,hardinessZone_max,heatTolerance,droughtTolerance,frostTolerance,climateSuitability,containerFriendly,minPotLiters,rowSpacingCm,seedSpacingCm,difficulty,storageLife,storageDormancy,storageNotes,diseaseResistance_lateBlight,diseaseResistance_scab,diseaseResistance_virus,diseaseResistance_nematode,diseaseNotes,availableFrom_SeedSow,availableFrom_WestCoastSeeds,vendorSeedList,vendorVarietyNames,sources,confidence
97,Kerr's Pink,,all_purpose,pink,cream,UK,"Scottish heritage variety from 1917 with distinctive pink-red skin and cream flesh. The floury texture and mild flavor make versatile mashing and baking potatoes. A classic British favorite with excellent disease resistance.",5,5,4,4,4,mild,floury,medium,medium,mashing|baking|roasting,6,7,7,5,5,scottish|british,round,106,137,large,shallow,smooth,thin,75,99,mid_late,high,medium,many,moderate,2,9,7,3,8,cool|temperate,false,,38,25,beginner,good,medium,,highly_resistant,highly_resistant,highly_resistant,highly_resistant,,false,false,,,seedsnow.com|wikipedia.org,high
98,Lehigh,,all_purpose,white,white,USA,"American variety with white skin and white flesh. The mealy texture and mild flavor suit baking and mashing. Named after the Lehigh Valley in Pennsylvania.",5,5,4,4,3,mild,mealy,medium,medium,baking|mashing|frying,6,7,7,5,5,american,oblong,99,113,medium,shallow,smooth,thin,82,110,mid_early,medium,medium,moderate,moderate,2,9,4,7,8,cool|temperate,false,,35,34,beginner,good,medium,,susceptible,moderate,resistant,highly_resistant,,false,false,,,wikipedia.org|ag.umass.edu,high
99,Majestic,,all_purpose,white,cream,UK,"British heritage variety from 1911 with white skin and cream flesh. The floury texture and mild flavor make excellent mashing and baking. A true classic of British potato breeding.",5,5,4,4,4,mild,floury,medium,medium,mashing|baking|roasting,6,7,7,5,5,british,oval,91,105,medium,shallow,smooth,thin,85,97,mid_season,high,medium,moderate,uniform,2,9,5,4,6,cool|temperate,false,,35,22,beginner,good,medium,,resistant,resistant,moderate,susceptible,,false,false,,,seedsnow.com|ag.umass.edu,high
100,Onaway,,all_purpose,white,white,USA,"American early variety with white skin and white flesh. The mealy texture and mild flavor make good baking potatoes. Named after a Michigan community.",5,5,4,4,3,mild,mealy,medium,medium,baking|boiling|mashing,6,6,7,6,5,american,round,69,101,medium,shallow,smooth,thin,70,85,early,medium,medium,moderate,moderate,2,9,4,6,8,cool|temperate,false,,35,33,beginner,good,short,,susceptible,highly_resistant,susceptible,highly_resistant,,false,false,,,ag.umass.edu|seedsnow.com,high
101,Picasso,,all_purpose,bicolor,yellow,Netherlands,"Dutch variety with distinctive bicolor skin (red splashes on yellow) and pale yellow flesh. The waxy texture and mild flavor make excellent salads. The artist-like skin pattern is eye-catching.",5,6,4,4,4,mild,waxy,moist,low,salads|boiling|roasting,5,5,8,9,8,dutch|european,oval,63,123,medium,shallow,smooth,thin,75,106,mid_late,high,medium,moderate,uniform,2,9,3,4,7,cool|temperate,false,,33,27,beginner,good,long,,susceptible,susceptible,susceptible,susceptible,,false,false,,,wikipedia.org|ag.umass.edu,high
102,Princess Laratte,,fingerling,pink,yellow,France,"French fingerling with rose-pink skin and yellow flesh. The waxy texture and buttery flavor suit salads and roasting. An elegant variety for special occasions.",5,7,4,4,5,buttery,waxy,moist,low,salads|roasting,5,5,9,9,9,french|european,fingerling,50,90,small,shallow,smooth,thin,75,100,mid_late,low,medium,few,uniform,3,8,4,5,7,cool|temperate,false,,36,29,intermediate,good,medium,,susceptible,highly_resistant,susceptible,moderate,,false,false,,,woodprairie.com|extension.umaine.edu,high
103,Provento,,all_purpose,yellow,yellow,Netherlands,"Dutch variety with yellow skin and matching golden flesh. The waxy texture and buttery flavor make excellent salads and boiling. A reliable European variety.",5,7,4,4,4,buttery,waxy,moist,medium,salads|boiling|roasting,5,5,8,8,7,dutch|european,round,75,110,medium,shallow,smooth,thin,85,103,mid_early,medium,medium,moderate,uniform,2,9,5,6,8,cool|temperate,false,,38,31,beginner,good,medium,,resistant,highly_resistant,susceptible,highly_resistant,,false,false,,,ag.umass.edu|potatoassociation.org,high
104,Purple Viking,,specialty,purple,white,USA,"American specialty with purple skin and white flesh. The mealy texture and mild flavor suit baking and mashing. The purple skin creates visual appeal while keeping traditional white interior.",5,5,4,4,3,mild,mealy,medium,medium,baking|mashing|roasting,6,7,7,5,5,american,round,104,159,large,shallow,smooth,medium,84,100,mid_early,high,medium,moderate,moderate,2,9,7,3,7,cool|temperate,false,,32,22,beginner,good,medium,,moderate,highly_resistant,moderate,moderate,,false,false,,,extension.umaine.edu|woodprairie.com,high
105,Red Cloud,,all_purpose,red,white,USA,"American red-skinned variety with white flesh. The mealy texture and mild flavor suit baking and mashing. Reliable red variety for home gardens.",5,5,4,4,3,mild,mealy,medium,medium,baking|mashing|roasting,6,6,7,6,5,american,round,110,154,large,shallow,smooth,thin,81,94,mid_season,high,medium,moderate,uniform,2,9,4,3,5,cool|temperate,false,,39,23,beginner,good,medium,,moderate,susceptible,resistant,resistant,,false,false,,,woodprairie.com|wikipedia.org,high
106,Sangre,,all_purpose,red,white,USA,"American red-skinned variety with white flesh. The mealy texture and mild flavor suit baking and boiling. The name means blood in Spanish, referring to the deep red skin.",5,5,4,4,3,mild,mealy,medium,medium,baking|boiling|mashing,6,6,7,6,5,american,round,111,169,large,shallow,smooth,thin,79,108,mid_early,high,medium,moderate,moderate,2,9,3,4,6,cool|temperate,false,,25,34,beginner,good,medium,,moderate,moderate,resistant,moderate,,false,false,,,wikipedia.org|seedsnow.com,high
107,Satina,,all_purpose,yellow,yellow,Germany,"German variety with yellow skin and matching golden flesh. The waxy texture and buttery flavor make excellent salads and boiling. A reliable producer with good storage.",5,7,4,4,4,buttery,waxy,moist,medium,salads|boiling|roasting,5,6,8,8,7,german|european,oval,79,95,medium,shallow,smooth,thin,82,104,mid_late,medium,medium,moderate,uniform,2,9,7,3,6,cool|temperate,false,,25,29,beginner,excellent,long,,highly_resistant,resistant,resistant,highly_resistant,,false,false,,,seedsnow.com|ag.umass.edu,high
108,Sebago,,all_purpose,white,white,USA,"American heritage variety from 1938 with white skin and white flesh. The mealy texture and mild flavor suit baking and mashing. Named after Lake Sebago in Maine. Good disease resistance.",5,5,4,4,3,mild,mealy,medium,medium,baking|mashing|frying,7,7,7,5,5,american,round,81,150,large,shallow,smooth,thin,82,108,mid_late,high,medium,moderate,uniform,2,9,3,6,6,cool|temperate,false,,35,21,beginner,good,long,,moderate,moderate,highly_resistant,resistant,,false,false,,,extension.umaine.edu|woodprairie.com,high
109,Shepody,,all_purpose,white,white,Canada,"Canadian variety developed for the french fry industry with white skin and white flesh. The mealy texture and mild flavor make excellent fries. A commercial favorite since 1980.",6,5,4,3,3,mild,mealy,dry,medium,frying|baking,9,7,6,4,4,canadian|american,oblong,108,180,large,shallow,smooth,thin,83,102,mid_season,high,medium,moderate,uniform,2,9,6,3,8,cool|temperate,false,,27,21,intermediate,fair,short,,moderate,susceptible,moderate,susceptible,,false,false,,,potatoassociation.org|extension.umaine.edu,high
110,Snowden,,all_purpose,white,white,USA,"American chipping variety with white skin and white flesh. The mealy texture and mild flavor make excellent chips. Bred specifically for the potato chip industry.",5,5,4,3,3,mild,mealy,dry,medium,chips|frying|baking,8,6,6,5,5,american,round,99,147,medium,shallow,smooth,thin,90,108,mid_season,high,medium,moderate,uniform,2,9,6,4,4,cool|temperate,false,,29,28,intermediate,good,medium,,moderate,highly_resistant,resistant,susceptible,,false,false,,,potatoassociation.org|westcoastseeds.com,high
111,Solist,,all_purpose,yellow,yellow,Netherlands,"Dutch variety with yellow skin and matching golden flesh. The waxy texture and mild buttery flavor make excellent salads and boiling.",5,6,4,4,4,buttery,waxy,moist,medium,salads|boiling|roasting,5,5,8,8,7,dutch|european,oblong,118,135,large,shallow,smooth,thin,82,107,mid_early,medium,medium,moderate,uniform,2,9,5,4,4,cool|temperate,false,,32,20,beginner,good,medium,,moderate,highly_resistant,susceptible,resistant,,false,false,,,wikipedia.org|potatoassociation.org,high
112,Upstate Abundance,,all_purpose,white,white,USA,"New York variety with white skin and white flesh. The mealy texture and mild flavor make versatile baking and mashing potatoes. Bred for abundant yields in northeastern climates.",5,5,4,4,4,mild,mealy,medium,medium,baking|mashing|roasting,6,7,7,6,5,american,round,65,90,medium,shallow,smooth,thin,87,104,mid_late,high,medium,moderate,uniform,2,9,6,4,8,cool|temperate,false,,34,28,beginner,good,medium,,moderate,highly_resistant,highly_resistant,moderate,,false,false,,,potatoassociation.org|seedsnow.com,high
113,Valery,,all_purpose,yellow,yellow,Germany,"German variety with yellow skin and matching golden flesh. The waxy texture and mild buttery flavor make excellent salads and boiling. A reliable variety for home gardens.",5,7,4,4,4,buttery,waxy,moist,medium,salads|boiling|roasting,5,5,8,8,7,german|european,oblong,66,98,medium,shallow,smooth,thin,88,104,mid_season,medium,medium,moderate,moderate,2,9,6,5,7,cool|temperate,false,,25,22,beginner,excellent,long,,moderate,susceptible,susceptible,moderate,,false,false,,,ag.umass.edu|westcoastseeds.com,high
114,Yummy,,all_purpose,yellow,yellow,USA,"American variety with yellow skin and golden flesh. The waxy texture and buttery flavor make excellent salads and roasting. A newer variety with appealing taste.",5,7,4,5,4,buttery,waxy,moist,medium,salads|roasting|boiling,5,6,8,8,7,american,oval,108,164,large,shallow,smooth,thin,81,106,mid_late,medium,medium,moderate,uniform,2,9,5,7,4,cool|temperate,false,,39,24,beginner,good,medium,,susceptible,susceptible,susceptible,moderate,,false,false,,,wikipedia.org|potatoassociation.org,high
115,Zarah,,all_purpose,yellow,yellow,UK,"British variety with yellow skin and golden flesh. The waxy texture and mild buttery flavor make excellent salads and boiling. A modern variety with traditional appeal.",5,6,4,4,4,buttery,waxy,moist,medium,salads|boiling|roasting,5,5,8,8,7,british,oval,87,134,medium,shallow,smooth,thin,85,95,mid_late,medium,medium,moderate,uniform,2,9,3,7,4,cool|temperate,false,,35,22,beginner,good,medium,,resistant,highly_resistant,resistant,moderate,,false,false,,,westcoastseeds.com|potatoassociation.org,high
